Timestamp 	 CPU-Usage
13:35:53.600 12
13:35:54.608 14
13:35:55.616 11
13:35:56.623 16
13:35:57.631 16
13:35:58.639 14
13:35:59.646 15
13:36:00.654 18
13:36:01.661 21
13:36:02.667 14
13:36:03.675 13
13:36:04.682 25
13:36:05.690 21
13:36:06.696 14
13:36:07.703 23
13:36:08.711 19
13:36:09.718 7
13:36:10.725 21
13:36:11.731 20
13:36:12.738 9
13:36:13.746 7
13:36:14.754 15
13:36:15.762 10
13:36:16.770 13
13:36:17.777 17
13:36:18.785 35
13:36:19.792 14
13:36:20.799 14
13:36:21.805 7
13:36:22.813 12
13:36:23.819 11
13:36:24.823 10
13:36:25.828 15
13:36:26.835 11
13:36:27.843 7
13:36:28.848 15
13:36:29.855 17
13:36:30.862 19
13:36:31.866 9
13:36:32.872 7
13:36:33.877 7
13:36:34.883 12
13:36:35.889 21
13:36:36.896 10
13:36:37.904 17
13:36:38.909 20
13:36:39.916 16
13:36:40.923 13
13:36:41.929 18
13:36:42.936 10
13:36:43.941 15
13:36:44.948 18
13:36:45.955 23
13:36:46.962 8
13:36:47.969 9
13:36:48.976 12
13:36:49.983 10
13:36:50.989 20
13:36:51.995 17
13:36:53.002 9
13:36:54.007 13
13:36:55.012 11
13:36:56.019 6
13:36:57.027 7
13:36:58.035 9
13:36:59.042 9
13:37:00.050 6
13:37:01.057 7
13:37:02.065 21
13:37:03.074 17
13:37:04.082 8
13:37:05.090 6
13:37:06.098 6
13:37:07.106 5
13:37:08.114 9
13:37:09.122 7
13:37:10.130 7
13:37:11.138 5
13:37:12.145 6
13:37:13.153 6
13:37:14.160 6
13:37:15.167 4
13:37:16.175 4
13:37:17.182 5
13:37:18.190 9
13:37:19.197 8
13:37:20.204 3
13:37:21.212 6
13:37:22.219 9
13:37:23.225 6
13:37:24.231 6
13:37:25.238 5
13:37:26.246 4
13:37:27.255 5
13:37:28.262 4
13:37:29.269 7
13:37:30.277 3
13:37:31.285 5
13:37:32.291 7
13:37:33.298 3
13:37:34.306 7
13:37:35.313 7
13:37:36.321 5
13:37:37.330 3
13:37:38.336 3
13:37:39.343 12
13:37:40.350 4
13:37:41.357 3
13:37:42.365 6
13:37:43.372 2
13:37:44.380 4
13:37:45.387 6
13:37:46.395 6
13:37:47.402 3
13:37:48.410 5
13:37:49.418 4
13:37:50.425 6
13:37:51.432 12
13:37:52.438 14
13:37:53.446 13
13:37:54.452 10
13:37:55.459 9
13:37:56.467 7
13:37:57.656 7
13:37:58.662 15
13:37:59.667 8
13:38:00.675 8
13:38:01.684 12
13:38:02.693 8
13:38:03.699 11
13:38:04.706 12
13:38:05.712 14
13:38:06.720 11
13:38:07.727 10
13:38:08.734 6
13:38:09.742 21
13:38:10.751 26
13:38:11.757 8
13:38:12.764 13
13:38:13.769 8
13:38:14.776 15
13:38:15.783 14
13:38:16.788 16
13:38:17.794 15
13:38:18.800 12
13:38:19.807 17
13:38:20.814 10
13:38:21.822 22
13:38:22.828 28
13:38:23.834 18
13:38:24.840 13
13:38:25.847 7
13:38:26.855 18
13:38:27.862 30
13:38:28.867 9
13:38:29.873 35
13:38:30.879 27
13:38:31.884 33
13:38:32.890 11
13:38:33.895 39
13:38:34.899 17
13:38:35.905 35
13:38:36.911 43
13:38:37.917 10
13:38:38.924 13
13:38:39.931 14
13:38:40.939 14
13:38:41.946 10
13:38:42.951 18
13:38:43.957 10
13:38:44.965 16
13:38:45.973 19
13:38:47.062 14
13:38:48.067 24
13:38:49.072 21
13:38:50.077 36
13:38:51.109 38
13:38:52.116 35
13:38:53.123 16
13:38:54.130 10
13:38:55.135 12
13:38:56.140 29
13:38:57.148 27
13:38:58.154 20
13:38:59.162 9
13:39:00.169 7
13:39:01.177 7
13:39:02.184 7
13:39:03.192 9
13:39:04.198 17
13:39:05.203 16
13:39:06.211 9
13:39:07.218 7
13:39:08.224 9
13:39:09.232 7
13:39:10.239 6
13:39:11.247 6
13:39:12.255 10
13:39:13.262 19
